ngram,ngram_str,count,n
"('353', '595', '420', '108', '34', '108', '353', '13', '351', '607')",353 595 420 108 34 108 353 13 351 607,8,10
"('87', '621', '602', '561', '242', '13', '542', '353', '87', '621')",87 621 602 561 242 13 542 353 87 621,6,10
"('621', '602', '561', '242', '13', '542', '353', '87', '621', '602')",621 602 561 242 13 542 353 87 621 602,6,10
"('602', '561', '242', '13', '542', '353', '87', '621', '602', '561')",602 561 242 13 542 353 87 621 602 561,6,10
"('242', '13', '87', '353', '542', '87', '621', '602', '561', '242')",242 13 87 353 542 87 621 602 561 242,6,10
"('13', '87', '353', '542', '87', '621', '602', '561', '242', '13')",13 87 353 542 87 621 602 561 242 13,6,10
"('294', '353', '169', '371', '607', '353', '169', '622', '595', '586')",294 353 169 371 607 353 169 622 595 586,6,10
"('353', '169', '371', '607', '353', '169', '622', '595', '586', '586')",353 169 371 607 353 169 622 595 586 586,6,10
"('353', '169', '607', '371', '353', '169', '622', '595', '586', '586')",353 169 607 371 353 169 622 595 586 586,5,10
"('353', '169', '622', '595', '586', '586', '586', '10', '44', '533')",353 169 622 595 586 586 586 10 44 533,5,10
"('169', '622', '595', '586', '586', '586', '10', '44', '533', '103')",169 622 595 586 586 586 10 44 533 103,5,10
"('622', '595', '586', '586', '586', '10', '44', '533', '103', '242')",622 595 586 586 586 10 44 533 103 242,5,10
"('475', '294', '353', '169', '371', '607', '353', '169', '622', '595')",475 294 353 169 371 607 353 169 622 595,5,10
"('169', '371', '607', '353', '169', '622', '595', '586', '586', '586')",169 371 607 353 169 622 595 586 586 586,5,10
"('371', '607', '353', '169', '622', '595', '586', '586', '586', '10')",371 607 353 169 622 595 586 586 586 10,5,10
"('607', '353', '169', '622', '595', '586', '586', '586', '10', '44')",607 353 169 622 595 586 586 586 10 44,5,10
"('595', '420', '108', '34', '108', '353', '13', '351', '607', '595')",595 420 108 34 108 353 13 351 607 595,5,10
"('420', '108', '34', '108', '353', '13', '351', '607', '595', '242')",420 108 34 108 353 13 351 607 595 242,5,10
"('294', '353', '169', '607', '371', '353', '169', '622', '595', '586')",294 353 169 607 371 353 169 622 595 586,4,10
"('561', '242', '13', '542', '353', '87', '621', '602', '561', '242')",561 242 13 542 353 87 621 602 561 242,4,10
"('242', '13', '542', '353', '87', '621', '602', '561', '242', '13')",242 13 542 353 87 621 602 561 242 13,4,10
"('13', '542', '353', '87', '621', '602', '561', '242', '13', '87')",13 542 353 87 621 602 561 242 13 87,4,10
"('542', '353', '87', '621', '602', '561', '242', '13', '87', '353')",542 353 87 621 602 561 242 13 87 353,4,10
"('353', '87', '621', '602', '561', '242', '13', '87', '353', '542')",353 87 621 602 561 242 13 87 353 542,4,10
"('87', '621', '602', '561', '242', '13', '87', '353', '542', '87')",87 621 602 561 242 13 87 353 542 87,4,10
"('621', '602', '561', '242', '13', '87', '353', '542', '87', '621')",621 602 561 242 13 87 353 542 87 621,4,10
"('602', '561', '242', '13', '87', '353', '542', '87', '621', '602')",602 561 242 13 87 353 542 87 621 602,4,10
"('561', '242', '13', '87', '353', '542', '87', '621', '602', '561')",561 242 13 87 353 542 87 621 602 561,4,10
"('258', '475', '294', '353', '169', '371', '607', '353', '169', '622')",258 475 294 353 169 371 607 353 169 622,4,10
"('621', '274', '595', '196', '87', '121', '274', '87', '126', '462')",621 274 595 196 87 121 274 87 126 462,4,10
"('274', '595', '196', '87', '121', '274', '87', '126', '462', '621')",274 595 196 87 121 274 87 126 462 621,4,10
"('595', '196', '87', '121', '274', '87', '126', '462', '621', '595')",595 196 87 121 274 87 126 462 621 595,4,10
"('196', '87', '121', '274', '87', '126', '462', '621', '595', '375')",196 87 121 274 87 126 462 621 595 375,4,10
"('13', '87', '353', '353', '448', '607', '388', '238', '209', '209')",13 87 353 353 448 607 388 238 209 209,4,10
"('87', '353', '353', '448', '607', '388', '238', '209', '209', '41')",87 353 353 448 607 388 238 209 209 41,4,10
"('595', '353', '595', '420', '108', '34', '108', '353', '13', '351')",595 353 595 420 108 34 108 353 13 351,4,10
"('242', '294', '13', '87', '621', '602', '561', '242', '13', '542')",242 294 13 87 621 602 561 242 13 542,3,10
"('258', '475', '294', '353', '169', '607', '371', '353', '169', '622')",258 475 294 353 169 607 371 353 169 622,3,10
"('475', '294', '353', '169', '607', '371', '353', '169', '622', '595')",475 294 353 169 607 371 353 169 622 595,3,10
"('169', '607', '371', '353', '169', '622', '595', '586', '586', '586')",169 607 371 353 169 622 595 586 586 586,3,10
"('607', '371', '353', '169', '622', '595', '586', '586', '586', '10')",607 371 353 169 622 595 586 586 586 10,3,10
"('371', '353', '169', '622', '595', '586', '586', '586', '10', '44')",371 353 169 622 595 586 586 586 10 44,3,10
"('607', '353', '595', '420', '108', '34', '108', '353', '13', '351')",607 353 595 420 108 34 108 353 13 351,3,10
"('621', '274', '595', '196', '87', '121', '274', '87', '462', '126')",621 274 595 196 87 121 274 87 462 126,3,10
"('274', '595', '196', '87', '121', '274', '87', '462', '126', '621')",274 595 196 87 121 274 87 462 126 621,3,10
"('595', '196', '87', '121', '274', '87', '462', '126', '621', '595')",595 196 87 121 274 87 462 126 621 595,3,10
"('196', '87', '121', '274', '87', '462', '126', '621', '595', '375')",196 87 121 274 87 462 126 621 595 375,3,10
"('87', '353', '542', '87', '621', '602', '561', '242', '13', '87')",87 353 542 87 621 602 561 242 13 87,3,10
"('353', '542', '87', '621', '602', '561', '242', '13', '87', '353')",353 542 87 621 602 561 242 13 87 353,3,10
"('542', '87', '621', '602', '561', '242', '13', '87', '353', '353')",542 87 621 602 561 242 13 87 353 353,3,10
