ngram,ngram_str,count,n
"('353', '169', '607', '371', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103')",353 169 607 371 353 169 622 595 586 586 586 10 44 533 103,2,15
"('169', '607', '371', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242')",169 607 371 353 169 622 595 586 586 586 10 44 533 103 242,2,15
"('294', '353', '169', '607', '371', '353', '169', '622', '595', '586', '586', '10', '44', '533', '103')",294 353 169 607 371 353 169 622 595 586 586 10 44 533 103,2,15
"('353', '169', '607', '371', '353', '169', '622', '595', '586', '586', '10', '44', '533', '103', '242')",353 169 607 371 353 169 622 595 586 586 10 44 533 103 242,2,15
"('294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624')",294 353 169 371 607 353 169 622 595 586 586 586 10 44 624,2,15
"('353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103')",353 169 371 607 353 169 622 595 586 586 586 10 44 624 103,2,15
"('169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418')",169 371 607 353 169 622 595 586 586 586 10 44 624 103 418,2,15
"('371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621')",371 607 353 169 622 595 586 586 586 10 44 624 103 418 621,2,15
"('607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274')",607 353 169 622 595 586 586 586 10 44 624 103 418 621 274,2,15
"('353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595')",353 169 622 595 586 586 586 10 44 624 103 418 621 274 595,2,15
"('169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196')",169 622 595 586 586 586 10 44 624 103 418 621 274 595 196,2,15
"('622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196', '87')",622 595 586 586 586 10 44 624 103 418 621 274 595 196 87,2,15
"('595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196', '87', '121')",595 586 586 586 10 44 624 103 418 621 274 595 196 87 121,2,15
"('586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196', '87', '121', '274')",586 586 586 10 44 624 103 418 621 274 595 196 87 121 274,2,15
"('586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196', '87', '121', '274', '87')",586 586 10 44 624 103 418 621 274 595 196 87 121 274 87,2,15
"('242', '258', '475', '294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586')",242 258 475 294 353 169 371 607 353 169 622 595 586 586 586,2,15
"('621', '274', '595', '196', '87', '121', '274', '87', '462', '126', '621', '595', '375', '549', '595')",621 274 595 196 87 121 274 87 462 126 621 595 375 549 595,2,15
"('274', '595', '196', '87', '121', '274', '87', '462', '126', '621', '595', '375', '549', '595', '547')",274 595 196 87 121 274 87 462 126 621 595 375 549 595 547,2,15
"('242', '13', '87', '353', '542', '87', '621', '602', '561', '242', '13', '87', '353', '353', '448')",242 13 87 353 542 87 621 602 561 242 13 87 353 353 448,2,15
"('621', '602', '561', '242', '13', '87', '353', '353', '448', '607', '388', '238', '209', '209', '41')",621 602 561 242 13 87 353 353 448 607 388 238 209 209 41,2,15
"('602', '561', '242', '13', '87', '353', '353', '448', '607', '388', '238', '209', '209', '41', '104')",602 561 242 13 87 353 353 448 607 388 238 209 209 41 104,2,15
"('561', '242', '13', '87', '353', '353', '448', '607', '388', '238', '209', '209', '41', '104', '542')",561 242 13 87 353 353 448 607 388 238 209 209 41 104 542,2,15
"('371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417')",371 607 353 169 622 595 586 586 586 10 44 533 103 242 417,2,15
"('607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621')",607 353 169 622 595 586 586 586 10 44 533 103 242 417 621,2,15
"('353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274')",353 169 622 595 586 586 586 10 44 533 103 242 417 621 274,2,15
"('169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595')",169 622 595 586 586 586 10 44 533 103 242 417 621 274 595,2,15
"('622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595', '196')",622 595 586 586 586 10 44 533 103 242 417 621 274 595 196,2,15
"('595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595', '196', '87')",595 586 586 586 10 44 533 103 242 417 621 274 595 196 87,2,15
"('586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595', '196', '87', '121')",586 586 586 10 44 533 103 242 417 621 274 595 196 87 121,2,15
