ngram,ngram_str,count,n
"('242', '13', '542', '353', '87', '621', '602', '561', '242', '13', '87', '353', '542', '87', '621')",242 13 542 353 87 621 602 561 242 13 87 353 542 87 621,4,15
"('13', '542', '353', '87', '621', '602', '561', '242', '13', '87', '353', '542', '87', '621', '602')",13 542 353 87 621 602 561 242 13 87 353 542 87 621 602,4,15
"('542', '353', '87', '621', '602', '561', '242', '13', '87', '353', '542', '87', '621', '602', '561')",542 353 87 621 602 561 242 13 87 353 542 87 621 602 561,4,15
"('475', '294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44')",475 294 353 169 371 607 353 169 622 595 586 586 586 10 44,4,15
"('87', '621', '602', '561', '242', '13', '542', '353', '87', '621', '602', '561', '242', '13', '87')",87 621 602 561 242 13 542 353 87 621 602 561 242 13 87,3,15
"('621', '602', '561', '242', '13', '542', '353', '87', '621', '602', '561', '242', '13', '87', '353')",621 602 561 242 13 542 353 87 621 602 561 242 13 87 353,3,15
"('602', '561', '242', '13', '542', '353', '87', '621', '602', '561', '242', '13', '87', '353', '542')",602 561 242 13 542 353 87 621 602 561 242 13 87 353 542,3,15
"('561', '242', '13', '542', '353', '87', '621', '602', '561', '242', '13', '87', '353', '542', '87')",561 242 13 542 353 87 621 602 561 242 13 87 353 542 87,3,15
"('353', '87', '621', '602', '561', '242', '13', '87', '353', '542', '87', '621', '602', '561', '242')",353 87 621 602 561 242 13 87 353 542 87 621 602 561 242,3,15
"('87', '621', '602', '561', '242', '13', '87', '353', '542', '87', '621', '602', '561', '242', '13')",87 621 602 561 242 13 87 353 542 87 621 602 561 242 13,3,15
"('258', '475', '294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10')",258 475 294 353 169 371 607 353 169 622 595 586 586 586 10,3,15
"('13', '87', '353', '542', '87', '621', '602', '561', '242', '13', '87', '353', '353', '448', '607')",13 87 353 542 87 621 602 561 242 13 87 353 353 448 607,3,15
"('87', '353', '542', '87', '621', '602', '561', '242', '13', '87', '353', '353', '448', '607', '388')",87 353 542 87 621 602 561 242 13 87 353 353 448 607 388,3,15
"('353', '542', '87', '621', '602', '561', '242', '13', '87', '353', '353', '448', '607', '388', '238')",353 542 87 621 602 561 242 13 87 353 353 448 607 388 238,3,15
"('542', '87', '621', '602', '561', '242', '13', '87', '353', '353', '448', '607', '388', '238', '209')",542 87 621 602 561 242 13 87 353 353 448 607 388 238 209,3,15
"('87', '621', '602', '561', '242', '13', '87', '353', '353', '448', '607', '388', '238', '209', '209')",87 621 602 561 242 13 87 353 353 448 607 388 238 209 209,3,15
"('294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533')",294 353 169 371 607 353 169 622 595 586 586 586 10 44 533,3,15
"('353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103')",353 169 371 607 353 169 622 595 586 586 586 10 44 533 103,3,15
"('169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242')",169 371 607 353 169 622 595 586 586 586 10 44 533 103 242,3,15
"('258', '475', '294', '353', '169', '607', '371', '353', '169', '622', '595', '586', '586', '586', '10')",258 475 294 353 169 607 371 353 169 622 595 586 586 586 10,2,15
"('475', '294', '353', '169', '607', '371', '353', '169', '622', '595', '586', '586', '586', '10', '44')",475 294 353 169 607 371 353 169 622 595 586 586 586 10 44,2,15
